"","Name","m_h_ratio","pvalue","p_adj_BH"
"193","4-Acetamidobutanoic acid",1.02351645804824,0.751676795461539,0.866896970373698
"194","p-Hydroxymandelic acid",1.14206946624553,0.0759328611680301,0.332045392904267
"195","Cholic acid",1.2115681300189,0.00569572702567206,0.0864149178067827
"196","Ribothymidine",1.09393988317068,0.285462222720364,0.529735497467674
"197","Glucosyl (2E-6E-10x)-10-11-dihydroxy-2-6-farnesadienoate",1.2385070801514,0.0271639034951506,0.198110704665226
"198","LysoPE(22:5)",0.939047000153735,0.522275209146476,0.724446257848338
"199","LysoPE(22:4)",0.912356209136166,0.374693194397634,0.611840785788542
"200","LysoPE(22:1)",0.986147107373924,0.885644140045181,0.941372942542367
"201","LysoPC(20:4)",0.981365087582453,0.826873876213388,0.907865081199807
"202","LysoPI(20:4)",0.684892512875203,0.00340624667698151,0.0864149178067827
"203","Propenoyl carnitine C3:1",1.09384279238674,0.136530087723293,0.418504825237839
"204","LysoPE(P-16:0)",1.06080391249633,0.567722716666304,0.758924667875163
"205","LysoPC(14:0)",1.15283393373487,0.0963248989645799,0.345164221289745
"206","lysoPE(20:4)",0.936610607331247,0.540177396049309,0.745271487597442
"207","LysoPE(20:3)",0.987452272709863,0.894932695020916,0.942418919654678
"208","lysoPE(20:2)",0.982959899257066,0.866336408433589,0.935208340484794
"209","LysoPE(20:1)",0.965815740941116,0.727895483411065,0.865831301682813
"210","LysoPC(18:1)",1.00730267300959,0.933385248146689,0.959415912437632
"211","LysoPI(18:0)",0.846008731810848,0.233041659224509,0.518316793792442
"212","Corchoionol C 9-glucoside",1.04435969263549,0.692379802312523,0.842613155644485
"213","LysoPC(14:1)",1.02644356107268,0.743003149123131,0.866896970373698
"214","LysoPE(18:3)",1.21454534384556,0.0294722415028779,0.198110704665226
"215","Deoxyribose",1.13321591166499,0.137879496686885,0.418504825237839
"216","N-Butyrylglycine",1.02342813499512,0.752654733967862,0.866896970373698
"217","L-Gulonolactone",1.08283293444252,0.563920487111093,0.757768154555531
"218","1-Methylguanine",1.07337000153727,0.28075871772438,0.529735497467674
"219","5,6-Dihydrouridine",1.07505633454947,0.276157605163666,0.529735497467674
"220","7-Methylguanine",1.07337082155499,0.280753822595917,0.529735497467674
"221","Galactose",0.82206824810781,0.07575299339751,0.332045392904267
"222","Aminoadipic acid",0.817623857662183,0.0437345401413835,0.262407240848301
"223","Glycine",0.850130841722286,0.343976235972047,0.577870153449913
"224","L-Glutamic acid",0.839092183741357,0.0606696979344973,0.316043925121878
"225","L-Glutamine",0.88380698796096,0.249721877777898,0.523806865582907
"226","Glycerophosphocholine",0.837286195893009,0.0516923074548176,0.296369229407621
"227","L-Malic acid",1.06959239236377,0.457499988324597,0.678362051653713
"228","5-L-Glutamyl-taurine",0.969282937491805,0.788483677310424,0.887174584274629
"229","Citraconic acid",1.03497793038002,0.646386384458768,0.813500913123717
"230","glycero-3-Phosphoethanolamine",0.801739419448547,0.0226743034359872,0.198110704665226
"231","N-Glycolylneuraminic acid",1.17467278159951,0.126445459514057,0.416579481616422
"232","Glutaconic acid",1.03497793038002,0.646386384458768,0.813500913123717
"233","Glu-Ala",0.92194813673069,0.332892564432024,0.568783322009684
"234","Glycerol 3-phosphate",0.810318285683507,0.0292854256594942,0.198110704665226
"235","L-Aspartic acid",0.815032961612194,0.0226335514449205,0.198110704665226
"236","Citrulline",1.02978920317814,0.699282897288079,0.8470187206588
"237","Glutamylserine",0.891408886563634,0.180016860197954,0.479532694560228
"238","Acetylphosphate",0.916136602023476,0.297998308053422,0.530231472260572
"239","Glycerylphosphorylethanolamine",0.801739419448547,0.0226743034359872,0.198110704665226
"240","Glucose 1-phosphate",0.851041104806338,0.134015879744818,0.416579481616422
"241","gamma-D-Glutamylglycine",0.996770930058682,0.9767906641622,0.984151428532059
"242","Cellobiose",0.980774416186777,0.75049246220354,0.866896970373698
"243","Citric acid",0.994839907880192,0.965825672789436,0.97718832776343
"244","Fructose 6-phosphate",0.851041104806338,0.134015879744818,0.416579481616422
"245","Mannose 6-phosphate",0.851041104806338,0.134015879744818,0.416579481616422
"246","1,2,3-Propanetricarboxylic acid",0.926301305665437,0.633481688320039,0.805437655338115
"247","D-Ribose 5-phosphate",0.835189559636975,0.118858359194814,0.41224697112222
"248","Sulfate",0.85968849226509,0.0951669817892968,0.345164221289745
"249","Alpha-Lactose",0.9807593258145,0.750325942669927,0.866896970373698
"250","Lactose",0.9807593258145,0.750325942669927,0.866896970373698
"251","Galactose 1-phosphate",0.851041104806338,0.134015879744818,0.416579481616422
"252","Anserine",0.995199424259366,0.95471415530962,0.972840811711425
"253","Glucose 6-phosphate",0.851041104806338,0.134015879744818,0.416579481616422
"254","Phosphoglycolic acid",0.916835559833191,0.494854783234918,0.71446325983895
