"","peak_id","m_h_ratio","pvalue","p_adj_BH"
"989",3436,0.913581573161681,0.386395278694727,0.712499243049452
"990",3437,1.02470472848329,0.834160672072967,0.943001944258885
"991",3441,1.01040224909364,0.894630189124794,0.960650764308426
"992",3442,1.143110159908,0.138352065084033,0.49865215337966
"993",3446,1.18146752960889,0.0357054548873298,0.316464857232513
"994",3447,0.995313456465572,0.958829497268903,0.987244177633142
"995",3448,1.07627183235852,0.255799952046606,0.610282080425428
"996",3451,1.20369608553319,0.0350800792230084,0.312395587014373
"997",3453,1.07961649686736,0.223316004127799,0.582792738550188
"998",3464,1.03834605438196,0.610852875768317,0.842107522794327
"999",3468,1.04017726065951,0.653872117606338,0.865907841033027
"1000",3470,1.06127435127487,0.632544240530946,0.855070762258533
"1001",3477,0.942712760140583,0.485557493818475,0.777766251310189
"1002",3489,1.02887088846018,0.774433879358135,0.917503946603995
"1003",3510,0.841896953327433,0.114226632323555,0.465668589814844
"1004",3513,0.844201310625704,0.112797606516277,0.464491080000414
"1005",3516,0.822190490749839,0.126356430341401,0.488526198789077
"1006",3519,0.808028722710991,0.0522164152185131,0.35793678261572
"1007",3521,0.870668215414777,0.188137203593612,0.5472288011647
"1008",3522,0.913236500851129,0.400419936585982,0.722062438430959
"1009",3524,0.87268993964963,0.208023570848086,0.566403874967738
"1010",3525,1.02129239067421,0.834599379085964,0.943001944258885
"1011",3526,1.12070844015663,0.212227269734915,0.566937580002757
"1012",3535,0.985390215477723,0.892743260341024,0.960197244522486
"1013",3537,0.84351853343441,0.1130500485064,0.464491080000414
"1014",3538,0.875356048329515,0.19574670428512,0.550974086853785
"1015",3539,0.854201807291505,0.144028567776687,0.503639149000667
"1016",3540,1.12624682501987,0.325188088283673,0.667790620639369
"1017",3548,0.851429373966749,0.137756061875985,0.49865215337966
"1018",3562,0.91111589620008,0.341941620044396,0.67666293346602
"1019",3563,0.942605629165346,0.535655208525718,0.804184879712763
"1020",3566,0.982283315974917,0.877703881690125,0.954401385240594
"1021",3567,0.907239950249623,0.320295316588868,0.664276931424373
"1022",3568,0.898125349520667,0.275241567412086,0.627673756406834
