"","Name","f_h_ratio","pvalue","p_adj_BH"
"25","PG(18:2/18:0)",0.999676378290155,0.997083198781514,0.999314877030777
"26","I(-)",0.886289410022545,0.152071581673973,0.740386886625132
"27","Tyrosol 4-sulfate",0.950413731130166,0.43938292437529,0.828250137378705
"28","palmitoleic acid",0.81973802684175,0.0180970341438045,0.378867158211117
"29","dihydroxyoctadecanoate",1.1973930931479,0.230308596943351,0.754172834386116
"30","C26:4",1.37378366325039,0.000110003270849452,0.028270840608309
"31","Octadecanedioic acid",1.1973930931479,0.230308596943351,0.754172834386116
"32","PG(18:2(9Z,12Z)/18:0)",0.999924032301139,0.999314877030777,0.999314877030777
"33","Stearic acid",1.17772537898638,0.0692140022542183,0.573806405784971
"34","C24:2",1.26834435445123,0.00300632045972754,0.154524871629996
"35","C25:1",1.24645923123816,0.262742173990881,0.754172834386116
"36","C26:5",0.992611443505912,0.923373425982222,0.999314877030777
"37","C24:3",1.06512529004141,0.434403769381668,0.828250137378705
"38","C24:1",1.36916702403757,0.00172657074107444,0.147909560152044
"39","C26:1",1.23673419397562,0.0401920812282329,0.429401015447725
"40","Linoleic acid",1.01676751007805,0.874714439029068,0.989317719541001
"41","Arachidic acid",1.01904788756511,0.825050682578414,0.968210161747271
"42","Heneicosanoic acid",1.489444214347,0.0621377643358377,0.556533588367864
"43","C24:4",1.2346380286303,0.00607102740374909,0.222893434680502
"44","hydroxyicosanoic acid",1.17634344413175,0.4008111408573,0.828250137378705
"45","C22:6",1.09601202422323,0.355800915606697,0.821529380874381
"46","MG(19:0)",1.37264210889581,0.118016998463111,0.740386886625132
"47","C23:1",1.1515573485528,0.19727137252643,0.754172834386116
"48","C21:2",0.937599255920432,0.440940764498497,0.828250137378705
"49","C22:1",1.03347789260042,0.703304912323588,0.931666624277798
"50","C24:6",1.10960848882821,0.239988684817513,0.754172834386116
"51","PG(16:0/18:2)",0.885098793759559,0.26216397930997,0.754172834386116
"52","All-trans-retinoic acid",0.966003811464726,0.594473218102224,0.917291709301306
"53","C21:3",1.03186949427691,0.727372638363632,0.931666624277798
"54","C21:1",1.18519863002408,0.272910792209762,0.754172834386116
"55","C22:3",1.03142386480712,0.750711597225918,0.931666624277798
"56","C22:2",1.13198171075912,0.163836075329817,0.740386886625132
"57","C24:5",1.09850274836784,0.211527406504242,0.754172834386116
"58","PG(18:1/16:0)",0.934416267853816,0.591870210045807,0.917291709301306
"59","C22:4",1.29442419932253,0.0037887917317481,0.162286579176544
"60","PG(18:0/18:2)",0.999749775278271,0.997744220089332,0.999314877030777
"61","C19:1",0.983344660116015,0.863096657963665,0.989317719541001
"62","Nonadecanoic acid",1.29923401357638,0.158005072222363,0.740386886625132
"63","C20:4",1.14500986893586,0.267501353110879,0.754172834386116
"64","C20:1",0.874502418347692,0.15531137968525,0.740386886625132
"65","C22:5",1.08541486549507,0.358633247517595,0.821529380874381
"66","12-Hydroxystearic acid",1.0567939352466,0.691238883413512,0.931666624277798
"67","C19:3",0.992998013618419,0.929806247524305,0.999314877030777
"68","C20:3",0.979217656108537,0.820077919175119,0.966789106550484
"69","C20:2",0.996828691224112,0.97841737796275,0.999314877030777
"70","C21:5",0.878861694370275,0.248754486691869,0.754172834386116
"71","C19:2",1.08361076553594,0.401914364324838,0.828250137378705
"72","C20:5",1.02769397587046,0.721948543544395,0.931666624277798
"73","Ketoleucine",0.978874062068079,0.763880130541761,0.931666624277798
"74","C18:1",0.940368509394099,0.479834712962255,0.828250137378705
