"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"80","Glycerophosphocholine","daysLeft",0.00131791887112585,0.000480026464062492,2.7455129452077,0.00612824506611313,0.0195328971166344
"81","L-Malic acid","daysLeft",0.000862100329932079,0.000314208490859053,2.7437206664119,0.00616159618871085,0.0195328971166344
"82","Citrulline","daysLeft",-0.000858582015863403,0.000313209983662703,-2.74123450926779,0.0062081300913334,0.0195328971166344
"83","Carnosic acid","daysLeft",0.00110670001732435,0.00040559221428702,2.7286027155866,0.00644949154818734,0.0200478171015944
"84","2-octenoylglycine","daysLeft",-0.0010823367513404,0.000401219496936143,-2.69761753754619,0.00707771781473998,0.0217387047167014
"85","C22:6","daysLeft",0.000882574135372302,0.000328779182187837,2.68439786697953,0.00736209827980751,0.0223461336022393
"86","Citraconic acid","daysLeft",-0.000809039996122377,0.000302442801506128,-2.67501819217868,0.00757005362144433,0.0224491245325591
"87","Glutaconic acid","daysLeft",-0.000809039996122377,0.000302442801506128,-2.67501819217868,0.00757005362144433,0.0224491245325591
"88","LysoPE(22:1)","daysLeft",0.00200550429338209,0.000750943604386824,2.67064568053637,0.00766878574104972,0.0224834854680776
"89","Glutaminylglutamic acid","daysLeft",-0.000961027149233427,0.000361733549440002,-2.65672661748181,0.00799082083743553,0.0231644019781839
"90","6-Deoxohomodolichosterone","daysLeft",0.00130712219758326,0.000493865368864573,2.64671766839699,0.00822982964266954,0.023592178308986
"91","1-Methylnicotinamide","daysLeft",-0.00107019180694496,0.000411224570608485,-2.60245102903605,0.00936547690968163,0.0265526707988776
"92","2-Oxophytanate","daysLeft",-0.000517486632740248,0.000199993964259667,-2.58751125143135,0.00977921408470433,0.0274243177592795
"93","C16:2","daysLeft",-0.000471509901654276,0.000184759350583913,-2.55202186067507,0.0108281127856068,0.0300392806310382
"94","Glutamylserine","daysLeft",-0.000975928188992879,0.000382997094214191,-2.54813470842442,0.0109488756060207,0.0300511692165248
"95","LysoPG(18:0)","daysLeft",0.00281589807497082,0.00110960756288406,2.53774232364804,0.0112776421924622,0.0303086633922421
"96","Anserine","daysLeft",-0.000751914851518242,0.000296046872556524,-2.53985068318761,0.0112102425239826,0.0303086633922421
"97","C17:2","daysLeft",0.000455799365461441,0.000180723676409567,2.52207886933685,0.0117897508332048,0.0313583063398643
"98","Homocarnosine","daysLeft",-0.000743437692175555,0.000296269981988159,-2.5093250662339,0.0122218735734769,0.0321759528771126
"99","3,4-Dihydroxyphenylglycol O-sulfate","daysLeft",-0.0010931609773082,0.000438820947403662,-2.49113216626514,0.0128625924755897,0.0335206955424458
"100","Ribothymidine","daysLeft",-0.000884955710609944,0.000367788643870462,-2.40615289612268,0.016265932556737,0.0419661059963814
